,year,case,rep,zones_controlled,onoffseed,tempseed,cost,cumulative_emissions,comfort_violation (%),mean_comfort_violation,std_comfort_violation,building_cost,sensing_cost,control_names,retrofit_name,installation_cost,name
253,2022,4,0,4,5,42,515.5735964572967,0.6670873320890892,30.500380517503807,0.6268300427615456,1.7711319464097814,71000.0,240,Partial Control,Fabric - Passivhaus,71240.0,Fabric - Passivhaus Partial Control
254,2022,4,0,4,15,42,474.8466360994369,0.5883045534303382,33.86796042617961,1.1624989973945874,2.843824422726596,71000.0,240,Partial Control,Fabric - Passivhaus,71240.0,Fabric - Passivhaus Partial Control
255,2022,1,0,4,10,15,1727.6616108192434,3.63261362535866,19.484398782343987,0.5261359448598607,1.7505811510661664,3800.0,240,Partial Control,Fabric - Low cost,4040.0,Fabric - Low cost Partial Control
256,2022,2,0,4,15,42,1152.5820319097932,2.393932288896038,33.78614916286149,1.1142958747646847,2.663889672966976,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
257,2023,0,0,0,15,30,1070.3825913863889,3.7134647782657337,23.63584474885845,1.3393896499083011,3.4800884574378084,0.0,0,Manual Control,Baseline,0.0,Baseline Manual Control
258,2022,5,0,9,15,42,2502.477687616278,1.2611248380994653,11.459284627092844,0.0361612661110965,0.2379094952872463,28000.0,520,Full Control,System - ASHP,28520.0,System - ASHP Full Control
259,2022,14,0,9,10,30,161.9266145924592,0.07983626945682257,31.974885844748854,1.3666098566281732,3.1313373171230023,,520,Full Control,,,
260,2023,3,0,9,5,15,325.10305664309874,0.7053262986897975,26.162480974124808,0.7683647787210143,2.1663479660135327,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
261,2023,3,0,0,15,30,398.3775661533133,0.952396174545885,13.409436834094368,0.2106032015334348,0.964580579395851,51000.0,0,Manual Control,Fabric - Deep,51000.0,Fabric - Deep Manual Control
262,2022,14,0,0,5,42,302.343290193003,0.14506433782229386,20.374809741248097,0.1155156079429687,0.5075757957319138,,0,Manual Control,,,
263,2023,3,0,9,10,42,325.10305664309874,0.7053262986897975,26.162480974124808,0.7683647787210143,2.1663479660135327,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
264,2022,0,0,4,15,42,1467.4862074173334,3.04488781945946,29.925799086757998,1.230889961604393,2.9604142781688743,0.0,240,Partial Control,Baseline,240.0,Baseline Partial Control
265,2023,14,0,9,15,42,90.78400535650216,0.0591682811242529,33.90981735159818,1.3568531109226594,3.139687987881909,,520,Full Control,,,
266,2022,14,0,9,10,15,161.9266145924592,0.07983626945682257,31.974885844748854,1.3666098566281732,3.1313373171230023,,520,Full Control,,,
267,2023,4,0,4,15,15,316.1424949613219,0.6953416372875854,24.634703196347036,0.943706670904353,2.704720680608948,71000.0,240,Partial Control,Fabric - Passivhaus,71240.0,Fabric - Passivhaus Partial Control
268,2022,2,0,9,5,30,1113.747554307853,2.313644126761618,20.842846270928465,0.2165023828333393,0.7844079175542551,16000.0,520,Full Control,Fabric - Shallow,16520.0,Fabric - Shallow Full Control
269,2023,2,0,9,15,30,673.6820412490923,2.31278983823294,22.054794520547947,0.2048794898351153,0.7443444637835733,16000.0,520,Full Control,Fabric - Shallow,16520.0,Fabric - Shallow Full Control
270,2023,1,0,9,5,42,824.7464781527486,2.827183471637016,16.040715372907155,0.0774157366420219,0.3650598152729165,3800.0,520,Full Control,Fabric - Low cost,4320.0,Fabric - Low cost Full Control
271,2023,0,0,0,5,15,1608.305946251859,5.6591756282203916,0.0,0.0,0.0,0.0,0,Manual Control,Baseline,0.0,Baseline Manual Control
272,2022,4,0,9,5,15,456.35629956947645,0.5527303953637003,31.489726027397257,1.417707260201166,3.259381047119996,71000.0,520,Full Control,Fabric - Passivhaus,71520.0,Fabric - Passivhaus Full Control
